x,y
1653782400000.00,29013.69
1653868800000.00,29448.74
1653955200000.00,31715.58
1654041600000.00,31776.27
1654128000000.00,29780.81
1654214400000.00,30429.88
1654300800000.00,29681.76
1654387200000.00,29845.23
1654473600000.00,29901.35
1654560000000.00,31349.82
1654646400000.00,31117.83
1654732800000.00,30189.25
1654819200000.00,30083.46
1654905600000.00,29059.41
1654992000000.00,28344.5
1655078400000.00,26593.3
1655164800000.00,22431.22
1655251200000.00,22189.29
1655337600000.00,22550.79
1655424000000.00,20350.48
1655510400000.00,20434.75
1655596800000.00,18977.51
1655683200000.00,20540.38
1655769600000.00,20582.29
1655856000000.00,20703.51
1655942400000.00,19953.71
1656028800000.00,21088.3
1656115200000.00,21194.68
1656201600000.00,21481.38
1656288000000.00,21020.04
1656374400000.00,20702.23
1656460800000.00,20256.61
1656547200000.00,20085.93
1656633600000.00,19865.7
1656720000000.00,19226.7
1656806400000.00,19224.75
1656892800000.00,19288.97
1656979200000.00,20208.45
1657065600000.00,20181.91
1657152000000.00,20545.61
1657238400000.00,21633.44
1657324800000.00,21636.45
1657411200000.00,21582.6
1657497600000.00,20834.61
1657584000000.00,19946.31
1657670400000.00,19292.99
1657756800000.00,20223.69
1657843200000.00,20568.9
1657929600000.00,20835.61
1658016000000.00,21197.1
1658102400000.00,20774.23
1658188800000.00,22538.08
1658275200000.00,23403.29
1658361600000.00,23227.22
1658448000000.00,23154.09
1658534400000.00,22687.08
1658620800000.00,22461.7
1658707200000.00,22582.4
1658793600000.00,21300.72
1658880000000.00,21267.33
1658966400000.00,22950.29
1659052800000.00,23856.25
1659139200000.00,23792
1659225600000.00,23647.99
1659312000000.00,23326.49
1659398400000.00,23298.94
1659484800000.00,22981.77
1659571200000.00,22831.85
1659657600000.00,22608.3
1659744000000.00,23295.14
1659830400000.00,22947.19
1659916800000.00,23174.25
1660003200000.00,23816.32
1660089600000.00,23156.31
1660176000000.00,23959.92
1660262400000.00,23953.77
1660348800000.00,24418.38
1660435200000.00,24447.13
1660521600000.00,24314.89
1660608000000.00,24096.19
1660694400000.00,23876.29
1660780800000.00,23332.09
1660867200000.00,23193.99
1660953600000.00,20843.22
1661040000000.00,21150.33
1661126400000.00,21520.51
1661212800000.00,21402.93
1661299200000.00,21516.02
1661385600000.00,21377.51
1661472000000.00,21597.93
1661558400000.00,20233.32
1661644800000.00,20035.59
1661731200000.00,19550.07
1661817600000.00,20290.41
1661904000000.00,19793.02
1661990400000.00,20047.68
1662076800000.00,20130.52
1662163200000.00,19952.91
1662249600000.00,19834.94
1662336000000.00,19994.65
1662422400000.00,19789.87
1662508800000.00,18806.7
1662595200000.00,19280.08
1662681600000.00,19327.53
1662768000000.00,21387.58
1662854400000.00,21673.03
1662940800000.00,21794.52
1663027200000.00,22392.71
1663113600000.00,20172.56
1663200000000.00,20219.55
1663286400000.00,19694.69
1663372800000.00,19787.61
1663459200000.00,20122.71
1663545600000.00,19415.86
1663632000000.00,19542.2
1663718400000.00,18879.96
1663804800000.00,18507.36
1663891200000.00,19408.63
1663977600000.00,19280.58
1664064000000.00,18931.79
1664150400000.00,18807.71
1664236800000.00,19227.26
1664323200000.00,19104.89
1664409600000.00,19530.71
1664496000000.00,19598.86
1664582400000.00,19427.2
1664668800000.00,19314.69
1664755200000.00,19049.72
1664841600000.00,19632.61
1664928000000.00,20342.25
1665014400000.00,20167.79
1665100800000.00,19956.49
1665187200000.00,19544.82
1665273600000.00,19417.73
1665360000000.00,19441.88
1665446400000.00,19132.52
1665532800000.00,19049.64
1665619200000.00,19156.21
1665705600000.00,19383.33
1665792000000.00,19184.71
1665878400000.00,19063.1
1665964800000.00,19265.53
1666051200000.00,19548.97
1666137600000.00,19330.74
1666224000000.00,19125.65
1666310400000.00,19046.83
1666396800000.00,19171.34
1666483200000.00,19205.45
1666569600000.00,19565.91
1666656000000.00,19338.9
1666742400000.00,20101.27
1666828800000.00,20772.36
1666915200000.00,20288.52
